stamp_sec,topic,type,value
1774015699.4423223,/metrics/pcl/fused/detections_count,std_msgs/msg/Int32,29
1774015699.4425814,/metrics/pcl/fused/points_in,std_msgs/msg/Int32,10549
1774015699.442778,/metrics/pcl/fused/processing_ms,std_msgs/msg/Float32,61.6909294128418
1774015699.5522585,/metrics/pcl/fused/detections_count,std_msgs/msg/Int32,28
1774015699.5524623,/metrics/pcl/fused/points_in,std_msgs/msg/Int32,10503
1774015699.5526016,/metrics/pcl/fused/processing_ms,std_msgs/msg/Float32,60.24909973144531
1774015699.666375,/metrics/pcl/fused/detections_count,std_msgs/msg/Int32,27
1774015699.666631,/metrics/pcl/fused/points_in,std_msgs/msg/Int32,10598
1774015699.666813,/metrics/pcl/fused/processing_ms,std_msgs/msg/Float32,59.35897445678711
1774015699.7758155,/metrics/pcl/fused/detections_count,std_msgs/msg/Int32,26
1774015699.7760832,/metrics/pcl/fused/points_in,std_msgs/msg/Int32,10454
1774015699.7762375,/metrics/pcl/fused/processing_ms,std_msgs/msg/Float32,60.127925872802734
1774015699.8853865,/metrics/pcl/fused/detections_count,std_msgs/msg/Int32,26
1774015699.8857043,/metrics/pcl/fused/points_in,std_msgs/msg/Int32,10484
1774015699.8860075,/metrics/pcl/fused/processing_ms,std_msgs/msg/Float32,62.269317626953125
1774015699.9935129,/metrics/pcl/fused/detections_count,std_msgs/msg/Int32,26
1774015699.9936996,/metrics/pcl/fused/points_in,std_msgs/msg/Int32,10534
1774015699.9938092,/metrics/pcl/fused/processing_ms,std_msgs/msg/Float32,61.48280334472656
1774015700.101974,/metrics/pcl/fused/detections_count,std_msgs/msg/Int32,31
1774015700.1021352,/metrics/pcl/fused/points_in,std_msgs/msg/Int32,10546
1774015700.102233,/metrics/pcl/fused/processing_ms,std_msgs/msg/Float32,60.1678352355957
1774015700.5818377,/metrics/pcl/fused/detections_count,std_msgs/msg/Int32,56
1774015700.582056,/metrics/pcl/fused/points_in,std_msgs/msg/Int32,30959
1774015700.5821993,/metrics/pcl/fused/processing_ms,std_msgs/msg/Float32,193.8126983642578
1774015700.9437823,/metrics/pcl/fused/detections_count,std_msgs/msg/Int32,54
1774015700.9440138,/metrics/pcl/fused/points_in,std_msgs/msg/Int32,31010
1774015700.9441833,/metrics/pcl/fused/processing_ms,std_msgs/msg/Float32,191.50082397460938
1774015701.2946033,/metrics/pcl/fused/detections_count,std_msgs/msg/Int32,54
1774015701.2948194,/metrics/pcl/fused/points_in,std_msgs/msg/Int32,31051
1774015701.2950346,/metrics/pcl/fused/processing_ms,std_msgs/msg/Float32,198.510986328125
1774015702.7239118,/metrics/pcl/fused/detections_count,std_msgs/msg/Int32,76
1774015702.724217,/metrics/pcl/fused/points_in,std_msgs/msg/Int32,41098
1774015702.7244058,/metrics/pcl/fused/processing_ms,std_msgs/msg/Float32,255.80062866210938
1774015703.1757276,/metrics/pcl/fused/detections_count,std_msgs/msg/Int32,79
1774015703.1759224,/metrics/pcl/fused/points_in,std_msgs/msg/Int32,40729
1774015703.1760406,/metrics/pcl/fused/processing_ms,std_msgs/msg/Float32,253.69686889648438
1774015704.546189,/metrics/pcl/fused/detections_count,std_msgs/msg/Int32,78
1774015704.5463595,/metrics/pcl/fused/points_in,std_msgs/msg/Int32,40538
1774015704.5464644,/metrics/pcl/fused/processing_ms,std_msgs/msg/Float32,245.14540100097656
1774015705.0196753,/metrics/pcl/fused/detections_count,std_msgs/msg/Int32,80
1774015705.0199897,/metrics/pcl/fused/points_in,std_msgs/msg/Int32,40692
1774015705.0202255,/metrics/pcl/fused/processing_ms,std_msgs/msg/Float32,244.5982666015625
1774015706.4112098,/metrics/pcl/fused/detections_count,std_msgs/msg/Int32,72
1774015706.411367,/metrics/pcl/fused/points_in,std_msgs/msg/Int32,40647
1774015706.4114778,/metrics/pcl/fused/processing_ms,std_msgs/msg/Float32,245.5611572265625
1774015707.4787095,/metrics/pcl/fused/detections_count,std_msgs/msg/Int32,83
1774015707.4788928,/metrics/pcl/fused/points_in,std_msgs/msg/Int32,40605
1774015707.479005,/metrics/pcl/fused/processing_ms,std_msgs/msg/Float32,150.00746154785156
1774015707.7432563,/metrics/pcl/fused/detections_count,std_msgs/msg/Int32,75
1774015707.7434528,/metrics/pcl/fused/points_in,std_msgs/msg/Int32,40592
1774015707.7435842,/metrics/pcl/fused/processing_ms,std_msgs/msg/Float32,135.5598602294922
1774015708.4890134,/metrics/pcl/fused/detections_count,std_msgs/msg/Int32,72
1774015708.4892004,/metrics/pcl/fused/points_in,std_msgs/msg/Int32,40503
1774015708.4893224,/metrics/pcl/fused/processing_ms,std_msgs/msg/Float32,131.72979736328125
1774015709.015063,/metrics/pcl/fused/detections_count,std_msgs/msg/Int32,76
1774015709.0152156,/metrics/pcl/fused/points_in,std_msgs/msg/Int32,40518
1774015709.0153039,/metrics/pcl/fused/processing_ms,std_msgs/msg/Float32,138.6847686767578
1774015709.2717319,/metrics/pcl/fused/detections_count,std_msgs/msg/Int32,81
1774015709.2720041,/metrics/pcl/fused/points_in,std_msgs/msg/Int32,40547
1774015709.2721503,/metrics/pcl/fused/processing_ms,std_msgs/msg/Float32,129.94534301757812
1774015709.7665086,/metrics/pcl/fused/detections_count,std_msgs/msg/Int32,75
1774015709.766628,/metrics/pcl/fused/points_in,std_msgs/msg/Int32,40726
1774015709.76671,/metrics/pcl/fused/processing_ms,std_msgs/msg/Float32,134.46914672851562
1774015710.0228474,/metrics/pcl/fused/detections_count,std_msgs/msg/Int32,79
1774015710.0230849,/metrics/pcl/fused/points_in,std_msgs/msg/Int32,40636
1774015710.0232615,/metrics/pcl/fused/processing_ms,std_msgs/msg/Float32,137.90481567382812
1774015710.287805,/metrics/pcl/fused/detections_count,std_msgs/msg/Int32,80
1774015710.2880313,/metrics/pcl/fused/points_in,std_msgs/msg/Int32,40727
1774015710.2881336,/metrics/pcl/fused/processing_ms,std_msgs/msg/Float32,139.4735565185547
1774015710.5499825,/metrics/pcl/fused/detections_count,std_msgs/msg/Int32,72
1774015710.5501263,/metrics/pcl/fused/points_in,std_msgs/msg/Int32,40766
1774015710.5502172,/metrics/pcl/fused/processing_ms,std_msgs/msg/Float32,135.82003784179688
1774015710.8104308,/metrics/pcl/fused/detections_count,std_msgs/msg/Int32,80
1774015710.8105497,/metrics/pcl/fused/points_in,std_msgs/msg/Int32,40715
1774015710.8106143,/metrics/pcl/fused/processing_ms,std_msgs/msg/Float32,136.19960021972656
1774015711.0842705,/metrics/pcl/fused/detections_count,std_msgs/msg/Int32,82
1774015711.0844808,/metrics/pcl/fused/points_in,std_msgs/msg/Int32,40555
1774015711.084566,/metrics/pcl/fused/processing_ms,std_msgs/msg/Float32,148.70465087890625
1774015711.340047,/metrics/pcl/fused/detections_count,std_msgs/msg/Int32,82
1774015711.340205,/metrics/pcl/fused/points_in,std_msgs/msg/Int32,40698
1774015711.3402689,/metrics/pcl/fused/processing_ms,std_msgs/msg/Float32,131.51707458496094
1774015712.3444157,/metrics/pcl/fused/detections_count,std_msgs/msg/Int32,81
1774015712.344582,/metrics/pcl/fused/points_in,std_msgs/msg/Int32,40778
1774015712.3446686,/metrics/pcl/fused/processing_ms,std_msgs/msg/Float32,135.24851989746094
1774015712.6006973,/metrics/pcl/fused/detections_count,std_msgs/msg/Int32,78
1774015712.6008413,/metrics/pcl/fused/points_in,std_msgs/msg/Int32,40916
1774015712.6009548,/metrics/pcl/fused/processing_ms,std_msgs/msg/Float32,137.798095703125
1774015713.362985,/metrics/pcl/fused/detections_count,std_msgs/msg/Int32,82
1774015713.363171,/metrics/pcl/fused/points_in,std_msgs/msg/Int32,40988
1774015713.3632615,/metrics/pcl/fused/processing_ms,std_msgs/msg/Float32,139.0338897705078
1774015713.6214833,/metrics/pcl/fused/detections_count,std_msgs/msg/Int32,84
1774015713.6216922,/metrics/pcl/fused/points_in,std_msgs/msg/Int32,40780
1774015713.6218054,/metrics/pcl/fused/processing_ms,std_msgs/msg/Float32,136.50303649902344
1774015714.1424198,/metrics/pcl/fused/detections_count,std_msgs/msg/Int32,79
1774015714.1425424,/metrics/pcl/fused/points_in,std_msgs/msg/Int32,40460
1774015714.142622,/metrics/pcl/fused/processing_ms,std_msgs/msg/Float32,131.2133331298828
1774015714.3963208,/metrics/pcl/fused/detections_count,std_msgs/msg/Int32,80
1774015714.3964615,/metrics/pcl/fused/points_in,std_msgs/msg/Int32,40439
1774015714.3965688,/metrics/pcl/fused/processing_ms,std_msgs/msg/Float32,128.8240509033203
1774015714.658385,/metrics/pcl/fused/detections_count,std_msgs/msg/Int32,80
